matricula  U.E.A. Trim Ev. Cal Plan
 209311434 2342008 19I GLO. B   56 BI02
 209311434 2352015 19I REC. MB  56 J52015
 209311434 2331069 19P GLO. NA  56 BL07
 209311434 2331069 19P REC. B   56 J31069B
 209311434 2331075 19P GLO. S   56 BJ08
 209311434 2331078 19P GLO. B   56 BK07
 209311434 2332086 19P GLO. S   56 BK08
 209311434 2332062 19O REC. B   56 J32062
 209311434 2332089 20I GLO. S   56 BK58
 209311434 2332074 20P GLO. S   56 BG08
 209311434 2332075 20P REC. S   56 J32075
 209311434 2332071 20O GLO. S   56 BG58
 209341853 2130034 12I GLO. EQ  56
 209341853 2300033 12I GLO. EQ  56
 209341853 2300034 12I GLO. EQ  56
 209341853 2300035 12I GLO. EQ  56
 209341853 2132075 12P GLO. EQ  56
 209341853 2255066 12P GLO. EQ  56
 209341853 2331062 12P GLO. EQ  56
 209341853 2331064 12P GLO. EQ  56
 209341853 2900056 12P GLO. EQ  56
 209341853 2112013 12O GLO. EQ  56
 209341853 2141025 12O GLO. EQ  56
 209341853 2132060 13I GLO. NA  56 BC04
 209341853 2331063 13I GLO. S   56 BC57
 209341853 2331065 13I GLO. B   56 BD08
 209341853 2122081 13P GLO. NA  56 BC02
 209341853 2132061 13P GLO. S   56 BD03
 209341853 2331061 13P GLO. NA  56 BB08
 209341853 2331067 13P GLO. B   56 BF57
 209341853 2132060 13O GLO. NA  56 BC01
 209341853 2141026 13O GLO. S   56 BD51
 209341853 2331066 13O GLO. NA  56 BE08
 209341853 2331061 14I GLO. NA  56 BB07
 209341853 2331066 14I REC. B   56 J31066
 209341853 2331061 14P REC. S   56 J31061
 209341853 2122081 14O GLO. S   56 BC51
 209341853 2132064 14O GLO. NA  56 BG01
 209341853 2331073 14O GLO. S   56 BI08
 209341853 2132060 15I REC. S   56 J32060
 209341853 2132064 15I GLO. NA  56 BG01
 209341853 2332083 15I GLO. NA  56 BJ08
 209341853 2132062 15P GLO. NA  56 BE02
 209341853 2332060 15P GLO. S   56 BG08
 209341853 2332083 15P GLO. B   56 BJ08
 209341853 2132062 15O GLO. S   56 BE51
 209341853 2331076 15O GLO. NA  56 BK08
 209341853 2122082 16I GLO. NA  56 BF03
 209341853 2122082 16P GLO. NA  56 BF03
 209341853 2132063 16P GLO. B   56 BF51
 209341853 2331076 16P GLO. S   56 BK58
 209341853 2332074 16O GLO. NA  56 BG08
 209341853 2332075 16O GLO. NA  56 BG08
 209341853 2332080 16O GLO. S   56 BG08
 209341853 2332087 16O GLO. MB  56 BK58
 209341853 2000002 17I GLO. NA  56 MDEX301
 209341853 2211089 17I GLO. B   56 HE02
 209341853 2331097 17I GLO. S   56 BL07
 209341853 2342027 17I GLO. B   56 BK02
 209341853 2122082 17P REC. NA  56 J22082
 209341853 2141112 17P GLO. NA  56 CM01
 209341853 2211095 17P GLO. B   56 HF09
 209341853 2332086 17P GLO. S   56 BK07
 209341853 2352012 17P REC. B   56 J52012
 209341853 2211078 17O GLO. NA  56 HB10
 209341853 2212013 17O GLO. NA  56 HH11
 209341853 2331078 17O GLO. S   56 BK07
 209341853 2331096 17O GLO. NA  56 BH07
 209341853 2342025 17O GLO. S   56 BE52
 209341853 2331072 18I GLO. NA  56 BH08
 209341853 2332064 18I GLO. B   56 BG58
 209341853 2332074 18I GLO. NA  56 BG08
 209341853 2332074 18I REC. B   56 J32074
 209341853 2332075 18I REC. S   56 J32075
 209341853 2332057 18P GLO. B   56 BG08
 209341853 2332059 18P GLO. NA  56 BG08
